DATE,5/9/19,5/13/19,5/15/19,5/17/19,5/20/19,5/22/19,5/24/19,5/27/19,5/30/19,6/1/19,6/3/19,6/5/19,6/7/19,6/11/19,6/14/19,6/16/19,6/20/19,6/24/19,6/26/19,6/29/19
TIME,5:40 PM,9:00 AM,9:40 PM,9:30 AM,10:50 AM,8:50 AM,4:15 PM,9:30 AM,7:00 PM,10:50 AM,9:00 AM,7:30 PM,7:30 PM,8:50 PM,8:00 PM,10:30 PM,6:45 PM,9:00 AM,10:30 AM,9:45 AM
WEIGHT,,,148,147.6,150.4,150.4,150.8,150.8,152.4,150,152.2,153.4,151.2,152.2,151.4,152.4,152.6,155.2,152.4,151.2
BODY FAT,,,,,,,,,,,.92/.91/1.04,.77/1.17/1.11,.74/1.01/.83,.71/1.35/.96,.71/1.3/.98,.81/1.31/1.23,.76/1.13/1,.73/.95/1.13,.95/.97/1.05,.65/.8/1.05
EX,Bench Press,Bench Press,Deadlift ,Bench Press,Deadlift,Bench Press,Deadlift ,Bench Press,Deadlift,Bench Press,Deadlift,Bench Press,Deadlift,Bench Press,Deadlift,Bench Press,Deadlift,Bench Press,Deadlift,Bench Press
WU,40/8/2,50/12/2,15/18/2,25/12/2,25/12/2,50/12/1,27.5/12/2,50/12/1,35/17/1,50/12/1,35/12/1,32.5/12/2,40/12/1,50/8/2, 50/12/1,50/10/1,50/12/1,50/12/1,55/12/1,50/12/1
SET 1,52.5/8,62.5/4,15/15,50/8,35/12,50/8,50/12,60/6,52.5/12,60/5,55/12,55/8,60/12,60/5,65/12,60/6,70/12,60/7,75/12,60/4
SET 2,60/4,55/7,25/12,50/8,40/12,57.5/6,50/12,60/4,55/12,60/4,57.5/13,60/5,65/12,60/5,70/12,60/5,75/12,62.5/4,85/10,60/3
SET 3,60/6,55/7,,57.5/5,42.5/12 ,57.5/5,50/12,60/4,57.5/12,55/7,62.5/13,60/3,70/12,55/6,75/12,60/4,80/12,62.5/3,85/8,
SET 4,60/4,55/5,,57.5/6,,55/7,,55/8,,55/5,,60/5,,55/7,,60/3,,60/5,,
SET 5,,,,,,,,,,,,,,,,60/5,,,,
,,,,,,,,,,,,,,,,,,,,
EX,Dips,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squat,Inclined Dumbell Press,Barbell Back Squatt,Inclined Dumbell Press,
WU,NA,0,25/12/2,15/15/1,25/12/2,25/12/1,NA,27.5/12/1,NA,30/12/1,NA,30/12/1,NA,35/12,NA,NA,NA,NA,NA,
SET 1,155/10,10/12,30/12,15/15,30/12,25/12,35/12,37.5/12,35/12,40/12,35/13,35/12,40/12,45/9,45/9,45/10,45/10,50/11,45/11,
